date_heure,consommation
2024-04-14 12:00:00+00:00,5662.0
2024-04-14 12:15:00+00:00,5582.0
2024-04-14 12:30:00+00:00,5480.0
2024-04-14 12:45:00+00:00,5302.0
2024-04-14 13:00:00+00:00,5332.0
2024-04-14 13:15:00+00:00,5361.0
2024-04-14 13:30:00+00:00,5312.0
2024-04-14 13:45:00+00:00,5316.0
2024-04-14 14:00:00+00:00,5244.0
2024-04-14 14:15:00+00:00,5190.0
2024-04-14 14:30:00+00:00,5221.0
2024-04-14 14:45:00+00:00,5204.0
2024-04-14 15:00:00+00:00,5124.0
2024-04-14 15:15:00+00:00,4992.0
2024-04-14 15:30:00+00:00,4930.0
2024-04-14 15:45:00+00:00,5039.0
2024-04-14 16:00:00+00:00,5021.0
2024-04-14 16:15:00+00:00,5173.0
2024-04-14 16:30:00+00:00,5174.0
2024-04-14 16:45:00+00:00,5249.0
2024-04-14 17:00:00+00:00,5416.0
2024-04-14 17:15:00+00:00,5458.0
2024-04-14 17:30:00+00:00,5455.0
2024-04-14 17:45:00+00:00,5604.0
2024-04-14 18:00:00+00:00,5458.0
2024-04-14 18:15:00+00:00,5545.0
2024-04-14 18:30:00+00:00,5532.0
2024-04-14 18:45:00+00:00,5687.0
2024-04-14 19:00:00+00:00,5626.0
2024-04-14 19:15:00+00:00,5658.0
2024-04-14 19:30:00+00:00,5464.0
2024-04-14 19:45:00+00:00,5360.0
2024-04-14 20:00:00+00:00,5381.0
2024-04-14 20:15:00+00:00,5435.0
2024-04-14 20:30:00+00:00,5503.0
2024-04-14 20:45:00+00:00,5653.0
2024-04-14 21:00:00+00:00,5552.0
2024-04-14 21:15:00+00:00,5748.0
2024-04-14 21:30:00+00:00,5532.0
2024-04-14 21:45:00+00:00,5404.0
2024-04-14 22:00:00+00:00,5204.0
2024-04-14 22:15:00+00:00,5225.0
2024-04-14 22:30:00+00:00,5086.0
2024-04-14 22:45:00+00:00,4985.0
2024-04-14 23:00:00+00:00,4849.0
2024-04-14 23:15:00+00:00,4873.0
2024-04-14 23:30:00+00:00,4779.0
2024-04-14 23:45:00+00:00,4755.0
2024-04-15 00:00:00+00:00,4849.0
2024-04-15 00:15:00+00:00,4764.0
2024-04-15 00:30:00+00:00,4723.0
2024-04-15 00:45:00+00:00,4621.0
2024-04-15 01:00:00+00:00,4517.0
2024-04-15 01:15:00+00:00,4573.0
2024-04-15 01:30:00+00:00,4516.0
2024-04-15 01:45:00+00:00,4502.0
2024-04-15 02:00:00+00:00,4524.0
2024-04-15 02:15:00+00:00,4441.0
2024-04-15 02:30:00+00:00,4505.0
2024-04-15 02:45:00+00:00,4443.0
2024-04-15 03:00:00+00:00,4600.0
2024-04-15 03:15:00+00:00,4697.0
2024-04-15 03:30:00+00:00,4723.0
2024-04-15 03:45:00+00:00,4823.0
2024-04-15 04:00:00+00:00,4976.0
2024-04-15 04:15:00+00:00,5141.0
2024-04-15 04:30:00+00:00,5287.0
2024-04-15 04:45:00+00:00,5434.0
2024-04-15 05:00:00+00:00,5483.0
2024-04-15 05:15:00+00:00,5675.0
2024-04-15 05:30:00+00:00,5787.0
2024-04-15 05:45:00+00:00,5844.0
2024-04-15 06:00:00+00:00,5906.0
2024-04-15 06:15:00+00:00,6095.0
2024-04-15 06:30:00+00:00,6189.0
2024-04-15 06:45:00+00:00,6245.0
2024-04-15 07:00:00+00:00,6372.0
2024-04-15 07:15:00+00:00,6381.0
2024-04-15 07:30:00+00:00,6368.0
2024-04-15 07:45:00+00:00,6413.0
2024-04-15 08:00:00+00:00,6556.0
2024-04-15 08:15:00+00:00,6512.0
2024-04-15 08:30:00+00:00,6527.0
2024-04-15 08:45:00+00:00,6726.0
2024-04-15 09:00:00+00:00,6733.0
2024-04-15 09:15:00+00:00,6704.0
2024-04-15 09:30:00+00:00,6733.0
2024-04-15 09:45:00+00:00,6604.0
2024-04-15 10:00:00+00:00,6721.0
2024-04-15 10:15:00+00:00,6745.0
2024-04-15 10:30:00+00:00,6730.0
2024-04-15 10:45:00+00:00,7010.0
2024-04-15 11:00:00+00:00,6880.0
2024-04-15 11:15:00+00:00,6903.0
2024-04-15 11:30:00+00:00,6835.0
2024-04-15 11:45:00+00:00,7038.0
2024-04-15 12:00:00+00:00,6975.0
2024-04-15 12:15:00+00:00,6848.0
2024-04-15 12:30:00+00:00,6779.0
2024-04-15 12:45:00+00:00,6677.0
2024-04-15 13:00:00+00:00,6778.0
2024-04-15 13:15:00+00:00,6655.0
2024-04-15 13:30:00+00:00,6713.0
2024-04-15 13:45:00+00:00,6704.0
2024-04-15 14:00:00+00:00,6602.0
2024-04-15 14:15:00+00:00,6483.0
2024-04-15 14:30:00+00:00,6382.0
2024-04-15 14:45:00+00:00,6216.0
2024-04-15 15:00:00+00:00,6225.0
2024-04-15 15:15:00+00:00,6206.0
2024-04-15 15:30:00+00:00,6181.0
2024-04-15 15:45:00+00:00,6150.0
2024-04-15 16:00:00+00:00,6152.0
2024-04-15 16:15:00+00:00,6020.0
2024-04-15 16:30:00+00:00,6121.0
2024-04-15 16:45:00+00:00,6209.0
2024-04-15 17:00:00+00:00,6415.0
2024-04-15 17:15:00+00:00,6337.0
2024-04-15 17:30:00+00:00,6412.0
2024-04-15 17:45:00+00:00,6353.0
2024-04-15 18:00:00+00:00,6283.0
2024-04-15 18:15:00+00:00,6331.0
2024-04-15 18:30:00+00:00,6295.0
2024-04-15 18:45:00+00:00,6393.0
2024-04-15 19:00:00+00:00,6275.0
2024-04-15 19:15:00+00:00,6215.0
2024-04-15 19:30:00+00:00,6129.0
2024-04-15 19:45:00+00:00,6054.0
2024-04-15 20:00:00+00:00,6041.0
2024-04-15 20:15:00+00:00,6120.0
2024-04-15 20:30:00+00:00,6213.0
2024-04-15 20:45:00+00:00,6203.0
2024-04-15 21:00:00+00:00,6147.0
2024-04-15 21:15:00+00:00,6219.0
2024-04-15 21:30:00+00:00,6071.0
2024-04-15 21:45:00+00:00,5852.0
2024-04-15 22:00:00+00:00,5809.0
2024-04-15 22:15:00+00:00,5701.0
2024-04-15 22:30:00+00:00,5538.0
2024-04-15 22:45:00+00:00,5300.0
